# Green's function G_{lmω}(r,r') for Teukolsky equation
# s=-2, l=2, m=2, a=0.0, r'=10.0M, r=30.0M
# Columns: ω  Re[G]  Im[G]  |G|  Re[ν]  Im[ν]
+1.20000000e-01  -5.0625140268026740e+01  +5.2417460124839337e+01  7.2873142879228865e+01  +1.9700114182847774e+00  +2.7648800289686772e-21
+1.40000000e-01  -1.4093934164137914e+02  +5.9793259556693046e-01  1.4094060999475712e+02  +1.9588435380566571e+00  -8.9161114639168118e-20
+1.60000000e-01  -1.6623300734091134e+02  -1.8250685974752980e+02  2.4686467261337333e+02  +1.9457105709683600e+00  -6.7497841586838057e-20
+1.80000000e-01  +5.1398227008574032e+01  -3.9736183312417648e+02  4.0067219040436385e+02  +1.9304810878649632e+00  -1.3651859379591786e-19
+2.00000000e-01  +5.2254571969584413e+02  -3.1786527101448513e+02  6.1163090151623294e+02  +1.9129832302687764e+00  +4.6124483429322616e-20
+2.20000000e-01  +8.2489917214458160e+02  +3.2643644896954231e+02  8.8714113838817138e+02  +1.8929886645575951e+00  -1.8754277618204162e-19
+2.40000000e-01  +2.9501936214639682e+02  +1.1956109218631232e+03  1.2314714371513674e+03  +1.8701862772269970e+00  +1.9136376368723860e-19
+2.60000000e-01  -1.1103467573515020e+03  +1.2125742228773186e+03  1.6441429887779007e+03  +1.8441363975819305e+00  +1.9632127928899146e-19
+2.80000000e-01  -2.0795749710997811e+03  -3.9811300289972985e+02  2.1173393737194083e+03  +1.8141845723742256e+00  +4.0613754765429442e-19
+3.00000000e-01  -8.3493759774646639e+02  -2.4950615938062456e+03  2.6310555199420637e+03  +1.7792805424199194e+00  +4.2607169661826360e-19
+3.20000000e-01  +2.2138866854158400e+03  -2.2332343152130798e+03  3.1446191760699367e+03  +1.7375329132632382e+00  +2.0056154973772383e-18
+3.40000000e-01  +3.3547880618469526e+03  +1.2698797066391137e+03  3.5870875943088809e+03  +1.6847877144372021e+00  +3.4106917524375814e-18
+3.60000000e-01  +5.6641040632284742e+01  +3.8613971434515415e+03  3.8618125416622224e+03  +1.6066167352463319e+00  +1.7454278355841503e-17
+3.80000000e-01  -3.6335131491821612e+03  +1.3869013316181624e+03  3.8892046884837391e+03  +1.5000000000000000e+00  +1.0805911705055918e-01
+4.00000000e-01  -2.3969871903893227e+03  -2.7781749091185825e+03  3.6693055768832533e+03  +1.5000000000000000e+00  +1.8624685314475173e-01
+4.20000000e-01  +1.5554211569996303e+03  -2.8944264096283055e+03  3.2858848452731681e+03  +1.5000000000000000e+00  +2.3935425109245939e-01
+4.40000000e-01  +2.8278289013457484e+03  +2.7578613497969121e+02  2.8412452001777915e+03  +1.5000000000000000e+00  +2.8106762460939055e-01
+4.60000000e-01  +7.8179697259608179e+02  +2.2736603873586482e+03  2.4043165480868524e+03  +1.5000000000000000e+00  +3.1491095230378535e-01
+4.80000000e-01  -1.4128983555692050e+03  +1.4241948621738954e+03  2.0061437557195857e+03  +1.5000000000000000e+00  +3.4192647959963207e-01
+5.00000000e-01  -1.5823397128299498e+03  -4.8688464247392665e+02  1.6555529655905700e+03  +1.5000000000000000e+00  +3.6188061539416755e-01
+5.20000000e-01  -2.7267741119629744e+02  -1.3246696464283918e+03  1.3524432123920899e+03  +1.5000000000000002e+00  +3.7329188439024530e-01
+5.40000000e-01  +8.2517331721458117e+02  -7.1875825580464573e+02  1.0943145954113252e+03  +1.5000000000000000e+00  +3.7257536329580110e-01
+5.60000000e-01  +8.2931641208613405e+02  +2.8882109521740961e+02  8.7817044837434753e+02  +1.5000000000000002e+00  +3.5081536817827386e-01
